StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Drag and drop the twelve upperclassmen houses below into your order of preference from 1 (first choice) to 12 (last choice). - Adams,Drag and drop the twelve upperclassmen houses below into your order of preference from 1 (first choice) to 12 (last choice). - Cabot,Drag and drop the twelve upperclassmen houses below into your order of preference from 1 (first choice) to 12 (last choice). - Kirkland,Drag and drop the twelve upperclassmen houses below into your order of preference from 1 (first choice) to 12 (last choice). - Mather,Drag and drop the twelve upperclassmen houses below into your order of preference from 1 (first choice) to 12 (last choice). - Quincy,Drag and drop the twelve upperclassmen houses below into your order of preference from 1 (first choice) to 12 (last choice). - Leverett,Drag and drop the twelve upperclassmen houses below into your order of preference from 1 (first choice) to 12 (last choice). - Dunster,Drag and drop the twelve upperclassmen houses below into your order of preference from 1 (first choice) to 12 (last choice). - Currier,Drag and drop the twelve upperclassmen houses below into your order of preference from 1 (first choice) to 12 (last choice). - Eliot,Drag and drop the twelve upperclassmen houses below into your order of preference from 1 (first choice) to 12 (last choice). - Lowell,Drag and drop the twelve upperclassmen houses below into your order of preference from 1 (first choice) to 12 (last choice). - Pforzheimer,Drag and drop the twelve upperclassmen houses below into your order of preference from 1 (first choice) to 12 (last choice). - Winthrop
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_11""}","{""ImportId"":""QID1_12""}"
2018-02-26 15:20:01,2018-02-26 15:20:12,IP Address,65.112.8.199,100,11,True,2018-02-26 15:20:13,R_Q3w5zUVRqehr97j,,,,,42.380004882812,-71.13289642334,anonymous,EN,6,11,12,9,10,3,5,2,4,7,1,8
2018-02-26 15:20:41,2018-02-26 15:20:47,IP Address,65.112.8.206,100,5,True,2018-02-26 15:20:47,R_3MPsXZ0Epz7vhWb,,,,,42.380004882812,-71.13289642334,anonymous,EN,8,7,11,9,1,12,6,2,5,4,10,3
2018-02-26 15:20:34,2018-02-26 15:21:12,IP Address,65.112.8.196,100,38,True,2018-02-26 15:21:13,R_sA8pV7pUL0SSa3f,,,,,42.380004882812,-71.13289642334,anonymous,EN,12,11,4,2,9,3,8,10,5,6,1,7
2018-03-01 16:10:33,2018-03-01 16:11:43,IP Address,65.112.8.129,100,69,True,2018-03-01 16:11:43,R_27g0DnJ4MpewKFQ,,,,,42.380004882812,-71.13289642334,anonymous,EN,8,11,2,9,3,4,7,10,6,5,12,1
2018-03-01 16:18:56,2018-03-01 16:19:07,IP Address,65.112.8.143,100,11,True,2018-03-01 16:19:08,R_2TGLBZEj1EjgLhe,,,,,42.380004882812,-71.13289642334,anonymous,EN,,,,,,,,,,,,
2018-03-01 16:21:39,2018-03-01 16:23:14,IP Address,172.58.217.26,100,94,True,2018-03-01 16:23:14,R_2amZttHZtGikRuL,,,,,42.416305541992,-70.99690246582,anonymous,EN,8,12,3,9,4,7,6,11,1,2,10,5
2018-03-01 16:27:47,2018-03-01 16:28:51,IP Address,65.112.8.129,100,64,True,2018-03-01 16:28:51,R_qKtEOXr1gp4PJjb,,,,,42.380004882812,-71.13289642334,anonymous,EN,1,11,8,9,7,6,3,12,4,2,10,5
2018-03-01 16:22:08,2018-03-01 16:37:33,IP Address,107.77.225.72,100,925,True,2018-03-01 16:37:33,R_3HzXbDaFjCdZptP,,,,,40.919403076172,-73.860702514648,anonymous,EN,11,12,6,8,4,3,5,9,7,2,10,1
